,Trial,Hit/Miss,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Outlier Event,ob,obpres,contact,grip,event_name,window
483,36,492.97523333333334,29,25,35,10,0.159,0.0,0.202,0.088,578.2984539946942,8.308908342740063,True,1,492.97523333333334,494.5688333333333,1,obpres,"(0, 0.5)"
493,37,498.72516666666667,18,14,22,8,0.141,0.075,0.209,0.134,1085.2097090748234,11.348653274361,True,1,498.72516666666667,499.95986666666664,1,obpres,"(0, 0.5)"
494,37,498.72516666666667,25,19,30,11,0.404,0.356,0.454,0.098,474.15312892949856,7.652456313153066,True,1,498.72516666666667,499.95986666666664,1,obpres,"(0, 0.5)"
506,38,504.03766666666667,17,14,21,7,0.069,0.0,0.153,0.17,609.0047154599703,6.85205727181294,True,1,504.03766666666667,505.6161,2,obpres,"(0, 0.5)"
534,40,547.4598,15,12,19,7,0.102,0.023,0.207,0.184,556.0706871190692,7.891958207347069,True,1,547.4598,551.1158333333333,1,obpres,"(0, 0.5)"
535,40,547.4598,15,12,19,7,0.119,0.021,0.216,0.195,538.4026941120345,7.641207600186649,True,1,547.4598,551.1158333333333,1,obpres,"(0, 0.5)"
563,42,569.9284666666666,18,15,21,6,0.289,0.21,0.393,0.183,665.1384738382227,6.955730174459002,True,0,569.9284666666666,573.5845,3,obpres,"(0, 0.5)"
564,42,569.9284666666666,19,13,24,11,0.048,0.0,0.099,0.104,826.5161284513872,8.627839398303358,True,0,569.9284666666666,573.5845,3,obpres,"(0, 0.5)"
582,43,578.8346666666666,27,22,32,10,0.096,0.057,0.149,0.092,448.0540881251802,7.212781360463932,True,0,578.8346666666666,582.4281333333333,3,obpres,"(0, 0.5)"
598,44,587.5533333333333,26,21,33,12,0.284,0.246,0.325,0.079,374.3593201649712,6.091912047972403,True,0,587.5533333333333,591.1307666666667,1,obpres,"(0, 0.5)"
599,44,587.5533333333333,29,17,40,23,0.423,0.388,0.457,0.069,491.6512828741141,7.063974350567884,True,0,587.5533333333333,591.1307666666667,1,obpres,"(0, 0.5)"
606,45,599.3970666666667,23,16,32,16,0.038,0.0,0.085,0.096,429.3864068582368,6.175702343515528,True,1,599.3970666666667,603.0681666666667,1,obpres,"(0, 0.5)"
639,47,620.3031,18,14,22,8,0.141,0.057,0.202,0.145,1154.6833308273312,12.07517833066139,True,0,620.3031,623.9278666666667,3,obpres,"(0, 0.5)"
666,49,637.8655,16,12,20,8,0.088,0.016,0.163,0.147,699.3184359341252,8.622700590454667,True,0,637.8655,641.5367,1,obpres,"(0, 0.5)"
695,51,659.4591,25,19,30,11,0.04,0.0,0.085,0.092,1223.7707906686003,19.750692216346636,True,1,659.4591,663.1465333333333,1,obpres,"(0, 0.5)"
773,56,735.3649333333333,19,15,22,7,0.367,0.307,0.428,0.121,631.7064408676853,6.5942593629626565,True,0,735.3649333333333,739.0048666666667,3,obpres,"(0, 0.5)"
787,57,744.2711333333333,24,20,29,9,0.452,0.396,0.499,0.114,629.506366042945,9.601851677354656,True,0,744.2711333333333,747.9271333333334,1,obpres,"(0, 0.5)"
829,60,783.7392666666667,15,12,19,7,0.174,0.051,0.251,0.2,564.0557393593351,8.005284984002296,True,1,783.7392666666667,785.6613,1,obpres,"(0, 0.5)"
890,64,822.3326,27,23,31,8,0.073,0.01,0.134,0.124,385.650931758205,6.208214423107737,True,1,822.3326,824.2235666666667,1,obpres,"(0, 0.5)"
899,65,828.5357,16,12,19,7,0.126,0.042,0.203,0.161,1431.629879995035,17.652209890700732,True,1,828.5357,830.2855666666667,2,obpres,"(0, 0.5)"
941,68,860.0511333333334,27,19,32,13,0.407,0.367,0.443,0.076,409.4976135443977,6.592098660423994,True,1,860.0511333333334,861.301,1,obpres,"(0, 0.5)"
994,72,888.2384333333333,21,18,27,9,0.322,0.256,0.393,0.137,823.1835756522676,9.853924068912047,True,0,888.2384333333333,889.7383333333333,1,obpres,"(0, 0.5)"
1076,78,931.6913,16,13,22,9,0.089,0.013,0.169,0.156,491.3868016127674,6.058872534581894,True,1,931.6913,933.7385,1,obpres,"(0, 0.5)"
1081,78,931.6913,27,23,36,13,0.403,0.34,0.458,0.118,470.9578866487291,7.5814870490242825,True,1,931.6913,933.7385,1,obpres,"(0, 0.5)"
1102,80,955.6293,16,14,19,5,0.224,0.115,0.408,0.293,553.8803872935164,6.829427764445424,True,1,955.6293,959.7379,1,obpres,"(0, 0.5)"
1103,80,955.6293,17,14,20,6,0.263,0.142,0.389,0.247,579.5998223774232,6.52121580809624,True,1,955.6293,959.7379,1,obpres,"(0, 0.5)"
1117,81,964.8166333333334,15,12,18,6,0.096,0.002,0.196,0.194,605.7945719114517,8.597657734005262,True,1,964.8166333333334,968.2539,1,obpres,"(0, 0.5)"
1162,84,994.4727,18,13,23,10,0.447,0.389,0.499,0.118,811.1166078198897,8.482306295500626,True,0,994.4727,998.0502,3,obpres,"(0, 0.5)"
1181,85,1006.5665333333334,29,25,37,12,0.289,0.227,0.339,0.112,604.7534946996528,8.689010532020644,True,1,1006.5665333333334,1010.6286666666666,2,obpres,"(0, 0.5)"
